keyword,title,authors,published,updated,year,categories,summary,id,doi,doi_full,oa_id,oa_title,oa_year,oa_cited_by,oa_topics,oa_concepts,oa_keywords,oa_venue_name,oa_venue_type,oa_venue_id
HPC,Nimrod/G: An Architecture of a Resource Management and Scheduling System in a Global Computational Grid,"Rajkumar Buyya, David Abramson, Jon Giddy",2000-09-22,2000-09-22,2000,cs.DC,"The availability of powerful microprocessors and high-speed networks as commodity components has enabled high performance computing on distributed systems (wide-area cluster computing). In this environment, as the resources are usually distributed geographically at various levels (department, enterp…",http://arxiv.org/abs/cs/0009021v1,10.1109/HPC.2000.846563,https://doi.org/10.1109/HPC.2000.846563,https://openalex.org/W2111259717,Nimrod/G: an architecture for a resource management and scheduling system in a global computational grid,2000.0,871.0,Distributed and Parallel Computing Systems; Parallel Computing and Optimization Techniques; Scientific Computing and Data Management,Computer science; Testbed; Distributed computing; Software portability; Grid computing; Scheduling (production processes); Grid; Resource Management System; DRMAA; Interoperability; Computer cluster; Modular design; Semantic grid; Operating system; Resource allocation; Computer network; World Wide Web; Engineering; Mathematics; Geometry; Operations management; Semantic Web,Computer science; Testbed; Distributed computing; Software portability; Grid computing; Scheduling (production processes); Grid; Resource Management System; DRMAA; Interoperability; Computer cluster; Modular design; Semantic grid; Operating system; Resource allocation; Computer network; World Wide Web; Engineering,,,
high performance computing,Axisymmetric Modes of Rotating Relativistic Stars in the Cowling Approximation,"Jose A. Font, Harald Dimmelmeier, Anshu Gupta, Nikolaos Stergioulas",2000-12-22,2001-04-06,2000,"astro-ph, gr-qc","Axisymmetric pulsations of rotating neutron stars can be excited in several scenarios, such as core-collapse, crust and core-quakes and binary mergers and could become detectable either in gravitational waves or high-energy radiation. Here, we present a comprehensive study of all low-order axisymmet…",http://arxiv.org/abs/astro-ph/0012477v2,10.1046/j.1365-8711.2001.04555.x,https://doi.org/10.1046/j.1365-8711.2001.04555.x,https://openalex.org/W2168835871,Axisymmetric modes of rotating relativistic stars in the Cowling approximation,2001.0,71.0,Pulsars and Gravitational Waves Research; Gamma-ray bursts and supernovae; Astrophysical Phenomena and Observations,Physics; Rotational symmetry; Rotation (mathematics); Gravitational wave; Classical mechanics; Stars; Neutron star; Pulsar; Astrophysics; Mechanics; Geometry; Mathematics,Physics; Rotational symmetry; Rotation (mathematics); Gravitational wave; Classical mechanics; Stars; Neutron star; Pulsar; Astrophysics; Mechanics; Geometry,Monthly Notices of the Royal Astronomical Society,journal,https://openalex.org/S195663288
high performance computing,Benchmarking MILC code with OpenMP and MPI,"Steven Gottlieb, Sonali Tamhankar",2000-11-07,2000-11-07,2000,hep-lat,"A trend in high performance computers that is becoming increasingly popular is the use of symmetric multiprocessing (SMP) rather than the older paradigm of MPP. MPI codes that ran and scaled well on MPP machines can often be run on an SMP machine using the vendor's version of MPI. However, this appr…",http://arxiv.org/abs/hep-lat/0011037v1,10.1016/S0920-5632(01)01016-7,https://doi.org/10.1016/S0920-5632(01)01016-7,https://openalex.org/W2069400333,Benchmarking MILC code with OpenMP and MPI,2001.0,5.0,Parallel Computing and Optimization Techniques; Distributed and Parallel Computing Systems; Advanced Data Storage Technologies,,,Nuclear Physics B - Proceedings Supplements,journal,https://openalex.org/S4210182546
high performance computing,Low energy phonon spectrum and its parameterization in pure KTaO3 under 80 K,"E. Farhi, A. K. Tagantsev, R. Currat, B. Hehlen, E. Courtens, L. A. Boatner",2000-09-01,2000-09-01,2000,cond-mat.mtrl-sci,High resolution data on low energy phonon branches (acoustic and soft optic) along the three principal symmetry axes in pure KTaO3 were obtained by cold neutron inelastic scattering between 10 and 80 K. Additional off-principal axis measurements were performed to characterize the dispersion anisotro…,http://arxiv.org/abs/cond-mat/0009009v1,10.1007/PL00011049,https://doi.org/10.1007/PL00011049,https://openalex.org/W2594431058,Low energy phonon spectrum and its parameterization in pure KTaO3 below 80 K,2000.0,27.0,Nuclear Physics and Applications; Advanced Condensed Matter Physics; Magnetic and transport properties of perovskites and related materials,Phonon; Anisotropy; Inelastic neutron scattering; Reciprocal lattice; Physics; Dispersion (optics); Symmetry (geometry); Principal axis theorem; Condensed matter physics; Dispersion relation; Computation; Inelastic scattering; Computational physics; Scattering; Optics; Geometry; Mathematics; Diffraction; Algorithm,Phonon; Anisotropy; Inelastic neutron scattering; Reciprocal lattice; Physics; Dispersion (optics); Symmetry (geometry); Principal axis theorem; Condensed matter physics; Dispersion relation; Computation; Inelastic scattering; Computational physics; Scattering; Optics; Geometry; Mathematics,The European Physical Journal B,journal,https://openalex.org/S9051360
high performance computing,Constraining cosmological parameters with the clustering properties of galaxy clusters in optical and X-ray bands,"Lauro Moscardini, Sabino Matarrese, H. J. Mo",2000-09-01,2001-06-12,2000,astro-ph,(abridged) We use a theoretical model to predict the clustering properties of galaxy clusters. Our technique accounts for past light-cone effects on the observed clustering and follows the non-linear evolution of the dark matter correlation function and cluster bias factor. A linear treatment of red…,http://arxiv.org/abs/astro-ph/0009006v2,10.1046/j.1365-8711.2001.04728.x,https://doi.org/10.1046/j.1365-8711.2001.04728.x,https://openalex.org/W2107158296,Constraining cosmological parameters with the clustering properties of galaxy clusters in optical and X-ray bands,2001.0,24.0,"Galaxies: Formation, Evolution, Phenomena; Astronomy and Astrophysical Research; Astrophysics and Cosmic Phenomena",Physics; Astrophysics; Cosmological constant; Redshift; Dark matter; Galaxy; Cluster analysis; Dark energy; Parameter space; Redshift-space distortions; Light cone; Spectral density; Galaxy cluster; Cold dark matter; Cosmology; Redshift survey; Theoretical physics; Statistics; Quantum mechanics; Mathematics,Physics; Astrophysics; Cosmological constant; Redshift; Dark matter; Galaxy; Cluster analysis; Dark energy; Parameter space; Redshift-space distortions; Light cone; Spectral density; Galaxy cluster; Cold dark matter; Cosmology; Redshift survey; Theoretical physics; Statistics; Quantum mechanics,Monthly Notices of the Royal Astronomical Society,journal,https://openalex.org/S195663288
high performance computing,Hydrodynamic Simulations of the Sunyaev-Zel'dovich effect(s),"Volker Springel, Martin White, Lars Hernquist",2000-08-08,2001-08-01,2000,astro-ph,"We have performed a sequence of high resolution hydrodynamic simulations of structure formation in a LCDM model to study the thermal and kinetic Sunyaev-Zel'dovich (SZ) effects. Including only adiabatic gas physics, we demonstrate that our simulations for the thermal effect are converged down to sub…",http://arxiv.org/abs/astro-ph/0008133v4,10.1086/319473,https://doi.org/10.1086/319473,https://openalex.org/W2077539669,Hydrodynamic Simulations of the Sunyaev‐Zeldovich Effect(s),2001.0,196.0,"Galaxies: Formation, Evolution, Phenomena; Cosmology and Gravitation Theories; Astrophysics and Cosmic Phenomena",Cosmic microwave background; Physics; Astrophysics; Redshift; Reionization; Adiabatic process; Kinetic energy; Anisotropy; Spectral density; Amplitude; Angular diameter; Matter power spectrum; Thermal; Computational physics; Galaxy; Classical mechanics; Optics; Quantum mechanics; Mathematics; Stars; Meteorology; Statistics,Cosmic microwave background; Physics; Astrophysics; Redshift; Reionization; Adiabatic process; Kinetic energy; Anisotropy; Spectral density; Amplitude; Angular diameter; Matter power spectrum; Thermal; Computational physics; Galaxy; Classical mechanics; Optics; Quantum mechanics,The Astrophysical Journal,journal,https://openalex.org/S1980519
high performance computing,NMR properties of a one-dimesional Cu-O model,"T. Becker, M. Gabay, T. Giamarchi",2000-07-17,2000-07-17,2000,"cond-mat.str-el, cond-mat.supr-con",We obtain the Knight shifts and the relaxation rates related to the Fermi contact interaction term for a one-dimensional Cu-O model using bosonization technique. We consider the small interaction limit at half-filling and away from half-filling. In this framework we predict that the antiferromagneti…,http://arxiv.org/abs/cond-mat/0007285v1,10.1103/PhysRevB.62.12489,https://doi.org/10.1103/PhysRevB.62.12489,https://openalex.org/W1966110288,NMR properties of a one-dimensional Cu-O model,2000.0,1.0,Physics of Superconductivity and Magnetism; Advanced Condensed Matter Physics; Theoretical and Computational Physics,Bosonization; Hyperfine structure; Antiferromagnetism; Cuprate; Condensed matter physics; Knight shift; Limit (mathematics); Relaxation (psychology); Physics; Fermi Gamma-ray Space Telescope; Spin (aerodynamics); Fermi contact interaction; Fermi surface; Quantum mechanics; Superconductivity; Mathematics; Thermodynamics; Social psychology; Psychology; Mathematical analysis; Fermion,Bosonization; Hyperfine structure; Antiferromagnetism; Cuprate; Condensed matter physics; Knight shift; Limit (mathematics); Relaxation (psychology); Physics; Fermi Gamma-ray Space Telescope; Spin (aerodynamics); Fermi contact interaction; Fermi surface; Quantum mechanics; Superconductivity; Mathematics; Thermodynamics,"Physical review. B, Condensed matter",journal,https://openalex.org/S4210174675
high performance computing,Quasiequilibrium sequences of synchronized and irrotational binary neutron stars in general relativity. I. Method and tests,"E. Gourgoulhon, P. Grandclement, K. Taniguchi, J. -A. Marck, S. Bonazzola",2000-07-13,2000-12-19,2000,"gr-qc, astro-ph",We present a numerical method to compute quasiequilibrium configurations of close binary neutron stars in the pre-coalescing stage. A hydrodynamical treatment is performed under the assumption that the flow is either rigidly rotating or irrotational. The latter state is technically more complicated …,http://arxiv.org/abs/gr-qc/0007028v2,10.1103/PhysRevD.63.064029,https://doi.org/10.1103/PhysRevD.63.064029,https://openalex.org/W2115680322,Quasiequilibrium sequences of synchronized and irrotational binary neutron stars in general relativity: Method and tests,2001.0,287.0,Pulsars and Gravitational Waves Research; Geophysics and Gravity Measurements; Gamma-ray bursts and supernovae,Conservative vector field; Numerical relativity; Physics; General relativity; Neutron star; Einstein field equations; Two-body problem in general relativity; Equation of state; Binary number; Classical mechanics; Astrophysics; Mathematics; Introduction to the mathematics of general relativity; Mechanics; Quantum mechanics; Compressibility; Arithmetic,Conservative vector field; Numerical relativity; Physics; General relativity; Neutron star; Einstein field equations; Two-body problem in general relativity; Equation of state; Binary number; Classical mechanics; Astrophysics; Mathematics; Introduction to the mathematics of general relativity; Mechanics; Quantum mechanics,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",journal,https://openalex.org/S4210190737
high performance computing,Recalculation of Proton Compton Scattering in Perturbative QCD,"Travis Brooks, Lance Dixon",2000-04-15,2000-10-16,2000,hep-ph,"At very high energy and wide angles, Compton scattering on the proton (gamma p -> gamma p) is described by perturbative QCD. The perturbative QCD calculation has been performed several times previously, at leading twist and at leading order in alpha_s, with mutually inconsistent results, even when t…",http://arxiv.org/abs/hep-ph/0004143v2,10.1103/PhysRevD.62.114021,https://doi.org/10.1103/PhysRevD.62.114021,https://openalex.org/W2045855120,Recalculation of proton Compton scattering in perturbative QCD,2000.0,36.0,Quantum Chromodynamics and Particle Interactions; Particle physics theoretical and experimental studies; High-Energy Particle Collisions Research,Physics; Perturbative QCD; Helicity; Quantum chromodynamics; Compton scattering; Particle physics; Diquark; Amplitude; Light cone; Scattering amplitude; Scattering; Proton; Charge radius; Observable; Quark; Sum rule in quantum mechanics; Deep inelastic scattering; Quantum electrodynamics; Nuclear physics; Inelastic scattering; Quantum mechanics,Physics; Perturbative QCD; Helicity; Quantum chromodynamics; Compton scattering; Particle physics; Diquark; Amplitude; Light cone; Scattering amplitude; Scattering; Proton; Charge radius; Observable; Quark; Sum rule in quantum mechanics; Deep inelastic scattering; Quantum electrodynamics; Nuclear physics; Inelastic scattering; Quantum mechanics,"Physical review. D. Particles, fields, gravitation, and cosmology/Physical review. D. Particles and fields",journal,https://openalex.org/S4210190737
high performance computing,"Quantum computing with trapped ions, atoms and light","A. M. Steane, D. M. Lucas",2000-04-12,2000-04-12,2000,quant-ph,"We first consider the basic requirements for a quantum computer, arguing for the attractiveness of nuclear spins as information-bearing entities, and light for the coupling which allows quantum gates. We then survey the strengths of and immediate prospects for quantum information processing in ion t…",http://arxiv.org/abs/quant-ph/0004053v1,10.1002/1521-3978(200009)48:9/11<839::AID-PROP839>3.0.CO;2-V,https://doi.org/10.1002/1521-3978(200009)48:9/11<839::AID-PROP839>3.0.CO;2-V,https://openalex.org/W2069042527,"Quantum Computing with Trapped Ions, Atoms and Light",2000.0,31.0,Quantum Information and Cryptography; Quantum Computing Algorithms and Architecture; Cold Atom Physics and Bose-Einstein Condensates,,,Fortschritte der Physik,journal,https://openalex.org/S4210238095
